APT_ICAO,APT_COUNTRY,APT_NAME,DASHBOARD
EBBR,Belgium,Brussels,TRUE
EDDE,Germany,Erfurt,TRUE
EDDH,Germany,Hamburg,TRUE
EDDK,Germany,Cologne-Bonn,TRUE
EDDP,Germany,Leipzig-Halle,TRUE
EDDR,Germany,Saarbruecken,TRUE
EDDS,Germany,Stuttgart,TRUE
EDDV,Germany,Hanover,TRUE
EFHK,Finland,Helsinki-Vantaa,TRUE
EGBB,United Kingdom,Birmingham,TRUE
EGGW,United Kingdom,London-Luton,TRUE
EGLL,United Kingdom,London-Heathrow,TRUE
EGPD,United Kingdom,Aberdeen,TRUE
EHAM,Netherlands,Amsterdam-Schiphol,TRUE
EICK,Ireland,Cork,TRUE
EIDW,Ireland,Dublin,TRUE
EPWA,Poland,Warszawa-Chopina,TRUE
ESGG,Sweden,Göteborg,TRUE
ESSA,Sweden,Stockholm-Arlanda,TRUE
GCRR,Spain,Lanzarote,TRUE
GCXO,Spain,Tenerife North,TRUE
LBSF,Bulgaria,Sofia,TRUE
LDZA,Croatia,Zagreb,TRUE
LEMG,Spain,Málaga,TRUE
LFPO,France,Paris-Orly,TRUE
LHBP,Hungary,Budapest-Ferihegy,TRUE
LICC,Italy,Catania,TRUE
LIRF,Italy,Rome-Fiumicino,TRUE
LJLJ,Slovenia,Ljubljana,TRUE
LKPR,Czech Republic,Prague,TRUE
LMML,Malta,Malta,TRUE
LOWW,Austria,Vienna,TRUE
LPPR,Portugal,Porto,TRUE
LSGG,Switzerland,Geneva,TRUE
LSZH,Switzerland,Zürich,TRUE
LZIB,Slovakia,Bratislava,TRUE
EDDL,Germany,Dusseldorf,TRUE
EDDT,Germany,Berlin-Tegel,TRUE
EKCH,Denmark,Copenhagen-Kastrup,TRUE
LEBL,Spain,Barcelona,TRUE
LEMD,Spain,Madrid-Barajas,TRUE
LFSB,France,Bâle-Mulhouse,TRUE
LIRN,Italy,Naples,TRUE
EGSS,United Kingdom,London-Stansted,TRUE
EDDF,Germany,Frankfurt,TRUE
GCTS,Spain,Tenerife Sur-Reina Sofia,TRUE
LIPE,Italy,Bologna,TRUE
EDDB,Germany,Berlin-Schoenefeld,TRUE
EVRA,Latvia,Riga,TRUE
EGGD,United Kingdom,Bristol,TRUE
LFLL,France,Lyon-Saint-Exupéry,TRUE
LIPZ,Italy,Venice,TRUE
EGCC,United Kingdom,Manchester,TRUE
LIRA,Italy,Rome-Ciampino,TRUE
ENGM,Norway,Oslo-Gardermoen,TRUE
EGPF,United Kingdom,Glasgow,TRUE
LEBB,Spain,Bilbao,TRUE
LEZL,Spain,Sevilla,TRUE
LROP,Romania,Bucharest-Otopeni,TRUE
EDDN,Germany,Nuremberg,TRUE
GCLP,Spain,Gran Canaria,TRUE
LIME,Italy,Bergamo,TRUE
EDDC,Germany,Dresden,TRUE
EDDM,Germany,Munich,TRUE
EETN,Estonia,Tallinn,TRUE
EYVI,Lithuania,Vilnius,TRUE
LPPT,Portugal,Lisbon,TRUE
EGPH,United Kingdom,Edinburgh,TRUE
EDDW,Germany,Bremen,TRUE
LEAL,Spain,Alicante,TRUE
LEVC,Spain,Valencia,TRUE
ELLX,Luxembourg,Luxembourg,TRUE
LFPG,France,Paris-Charles-de-Gaulle,TRUE
EBCI,Belgium,Charleroi,TRUE
LEPA,Spain,Palma de Mallorca,TRUE
LFMN,France,Nice-Côte d’Azur,TRUE
LIML,Italy,Milan-Linate,TRUE
EDDG,Germany,Muenster-Osnabrueck,TRUE
LEIB,Spain,Ibiza,TRUE
EGKK,United Kingdom,London-Gatwick,TRUE
EGLC,United Kingdom,London-City,TRUE
LIMC,Italy,Milan-Malpensa,TRUE
LPFR,Portugal,Faro,TRUE
LGAV,Greece,Athens,TRUE
